                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3495,                 1.7807,                 1.7428,                0.39421,                0.86785,                0.67344,                0.43038,                 1.2863,                 1.4545,                 2.1009,              0.0010916,              0.0010916,              0.0010916
                     35,                 1.2932,                 1.7726,                  1.744,                0.36274,                 0.7877,                 0.5784,                0.37702,                  1.277,                 1.5028,                 2.0501,              0.0010866,              0.0010866,              0.0010866
                     36,                 1.3261,                  1.765,                 1.7558,                0.35696,                0.84523,                0.51136,                0.33738,                 1.2856,                 1.6036,                 2.0687,              0.0010817,              0.0010817,              0.0010817
                     37,                 1.2571,                 1.7276,                 1.7063,                0.44815,                0.81948,                0.64411,                0.40732,                  1.313,                 1.6286,                 2.1107,              0.0010768,              0.0010768,              0.0010768
                     38,                 1.2832,                 1.7277,                 1.7143,                0.57593,                0.80069,                 0.7215,                0.43708,                 1.3175,                 1.3645,                 2.1478,              0.0010718,              0.0010718,              0.0010718
                     39,                 1.3203,                 1.7344,                 1.7562,                0.39579,                0.86626,                0.50268,                0.29652,                 1.3269,                 1.7737,                 2.1027,              0.0010669,              0.0010669,              0.0010669
                     40,                 1.2932,                 1.7567,                 1.7457,                0.32648,                0.78968,                0.51487,                0.29213,                 1.5658,                 1.6178,                 2.4584,              0.0010619,              0.0010619,              0.0010619
                     41,                 1.2326,                 1.6965,                 1.7152,                0.36884,                0.89087,                 0.5875,                0.36983,                 1.4156,                 1.7581,                 2.2109,               0.001057,               0.001057,               0.001057
                     42,                 1.2357,                  1.655,                 1.6877,                0.50547,                0.81697,                0.72495,                0.46237,                 1.3084,                 1.3095,                  2.027,               0.001052,               0.001052,               0.001052
                     43,                 1.2232,                 1.6652,                 1.6835,                  0.533,                0.75765,                0.64306,                0.41408,                 1.2459,                 1.4659,                 2.0869,               0.001047,               0.001047,               0.001047
                     44,                 1.2034,                  1.645,                 1.6604,                0.55583,                0.76118,                0.71241,                0.48429,                 1.2192,                 1.2513,                 2.0011,              0.0010421,              0.0010421,              0.0010421
                     45,                 1.2083,                 1.6177,                 1.6725,                0.49547,                0.85125,                0.69809,                0.46504,                 1.3124,                 1.3642,                 2.0769,              0.0010372,              0.0010372,              0.0010372
                     46,                 1.2277,                 1.6231,                 1.6671,                0.44556,                0.87155,                0.73593,                0.47502,                 1.3302,                 1.3112,                 2.1166,              0.0010322,              0.0010322,              0.0010322
                     47,                 1.1924,                 1.6156,                 1.6518,                0.47733,                0.93452,                0.73394,                0.47485,                 1.2065,                 1.2688,                 1.9977,              0.0010273,              0.0010273,              0.0010273
                     48,                 1.1935,                 1.6025,                 1.6559,                0.61344,                0.81597,                0.72648,                0.48221,                 1.0992,                 1.2903,                 1.9438,              0.0010223,              0.0010223,              0.0010223
                     49,                 1.1568,                 1.5524,                 1.6371,                0.46236,                 0.8288,                0.72621,                0.48051,                  1.208,                 1.2988,                 2.0055,              0.0010173,              0.0010173,              0.0010173
                     50,                 1.2142,                  1.576,                 1.6612,                0.58712,                 0.8173,                0.75371,                0.47653,                 1.3636,                 1.2116,                 2.0854,              0.0010124,              0.0010124,              0.0010124
                     51,                 1.1582,                 1.5035,                 1.6043,                0.42197,                0.80258,                0.67781,                0.44549,                 1.2889,                 1.5371,                 2.0071,              0.0010075,              0.0010075,              0.0010075
                     52,                 1.1548,                 1.5262,                 1.6186,                 0.4859,                0.81891,                0.66583,                0.44431,                 1.1863,                 1.4581,                  1.926,              0.0010025,              0.0010025,              0.0010025
                     53,                 1.1624,                 1.5059,                 1.6124,                0.55878,                 0.8712,                0.72512,                0.49536,                 1.1615,                 1.1971,                 1.9607,             0.00099755,             0.00099755,             0.00099755
                     54,                 1.1985,                 1.5456,                  1.635,                0.55393,                0.73485,                0.71245,                0.48325,                 1.1689,                  1.221,                 1.9012,              0.0009926,              0.0009926,              0.0009926
